scenario,years,window_start,leverage,index_log_growth,index_volatility,index_last_two_year_return,actual_start,actual_end,contributed,final_value,profit,roi,worst_loss_on_deposits,lump_return,max_nav_drawdown
higher_financing,10,2011-09-01,1,0.20650113269481926,0.19598885072825803,1.0865817458060847,2011-09-01,2021-09-01,52300.0,186982.6497190562,134682.6497190562,2.5751940672859694,-0.052209704874221274,6.727886881003461,-0.2798076143902245
higher_financing,10,2011-09-01,2,0.20650113269481926,0.19598885072825803,1.0865817458060847,2011-09-01,2021-09-01,52300.0,496080.410264326,443780.410264326,8.4852850910961,-0.10473624122163105,29.933630239217646,-0.5165595429712524
higher_financing,10,2011-09-01,3,0.20650113269481926,0.19598885072825803,1.0865817458060847,2011-09-01,2021-09-01,52300.0,1088449.592294888,1036149.5922948881,19.811655684414685,-0.1635544748726807,88.41920792140765,-0.6992954440615236
higher_financing,10,2011-10-01,1,0.20745931016170788,0.1949408185141403,0.9571359759789497,2011-10-03,2021-10-01,52200.0,173940.40893162467,121740.40893162467,2.332191741985147,-0.06029028328677488,6.793526412265503,-0.2798076143902245
higher_financing,10,2011-10-01,2,0.20745931016170788,0.1949408185141403,0.9571359759789497,2011-10-03,2021-10-01,52200.0,430467.22666126024,378267.22666126024,7.246498595043299,-0.12146327534380663,30.59613847009523,-0.5165595429712524
higher_financing,10,2011-10-01,3,0.20745931016170788,0.1949408185141403,0.9571359759789497,2011-10-03,2021-10-01,52200.0,880924.3954338694,828724.3954338694,15.875946272679492,-0.18155744924772887,91.89558189416283,-0.6992954440615236
higher_financing,10,2011-11-01,1,0.20485363264570428,0.19370508574922626,0.9812901770251758,2011-11-01,2021-11-01,52300.0,184521.64291439333,132221.64291439333,2.528138487846909,-0.06570887093447231,6.601588283056661,-0.2798076143902245
higher_financing,10,2011-11-01,2,0.20485363264570428,0.19370508574922626,0.9812901770251758,2011-11-01,2021-11-01,52300.0,484341.612716718,432041.612716718,8.260833895157132,-0.12913776039261304,29.197354770444857,-0.5165595429712524
higher_financing,10,2011-11-01,3,0.20485363264570428,0.19370508574922626,0.9812901770251758,2011-11-01,2021-11-01,52300.0,1051311.2772991154,999011.2772991154,19.10155405925651,-0.18965037068542412,86.40150949740058,-0.6992954440615236
higher_financing,10,2011-12-01,1,0.2040760105322553,0.19254758936631158,0.9415505826450015,2011-12-01,2021-12-01,52300.0,181663.69103962835,129363.69103962835,2.47349313651297,-0.036142523969307616,6.542695419010149,-0.2798076143902245
higher_financing,10,2011-12-01,2,0.2040760105322553,0.19254758936631158,0.9415505826450015,2011-12-01,2021-12-01,52300.0,469458.4883389131,417158.4883389131,7.976261727321475,-0.07175360806410902,28.863003265546997,-0.5165595429712524
higher_financing,10,2011-12-01,3,0.2040760105322553,0.19254758936631158,0.9415505826450015,2011-12-01,2021-12-01,52300.0,1002003.2675222604,949703.2675222604,18.158762285320467,-0.106613727074931,85.5236713008824,-0.6992954440615236
higher_financing,10,2012-01-01,1,0.20643483117209008,0.19289744673829926,0.898259380204228,2012-01-03,2021-12-31,52200.0,183264.11553032283,131064.11553032283,2.510806810925725,-0.04598650228983203,6.709800437727501,-0.2798076143902245
